id,Date,State,Total Confirmed Cases,Total Deaths
1,Sat 10/3,Alabama,158380,2558
2,Sat 10/3,Alaska,9111,54
3,Sat 10/3,Arizona,220403,5705
4,Sat 10/3,Arkansas,86525,1407
5,Sat 10/3,California,831494,16122
6,Sat 10/3,Colorado,72929,2071
7,Sat 10/3,Connecticut,58297,4513
8,Sat 10/3,Delaware,21125,645
9,Sat 10/3,District of Columbia,15473,629
10,Sat 10/3,Florida,714583,14627
11,Sat 10/3,Georgia,305941,6972
12,Sat 10/3,Guam,3668,52
13,Sat 10/3,Hawaii,12887,152
14,Sat 10/3,Idaho,43702,480
15,Sat 10/3,Illinois,303807,9033
16,Sat 10/3,Indiana,126414,3669
17,Sat 10/3,Iowa,92302,1381
18,Sat 10/3,Kansas,62446,698
19,Sat 10/3,Kentucky,75576,1239
20,Sat 10/3,Louisiana,168826,5545
21,Sat 10/3,Maine,5486,142
22,Sat 10/3,Maryland,127194,3957
23,Sat 10/3,Massachusetts,134303,9507
24,Sat 10/3,Michigan,141236,7125
25,Sat 10/3,Minnesota,102840,2126
26,Sat 10/3,Mississippi,100167,3011
27,Sat 10/3,Missouri,134826,2220
28,Sat 10/3,Montana,14490,186
29,Sat 10/3,Nebraska,47403,503
30,Sat 10/3,Nevada,81829,1623
31,Sat 10/3,New Hampshire,8597,442
32,Sat 10/3,New Jersey,209363,16135
33,Sat 10/3,New Mexico,30296,890
34,Sat 10/3,New York,468081,32794
35,Sat 10/3,North Carolina,217049,3647
36,Sat 10/3,North Dakota,23137,274
37,Sat 10/3,Northern Mariana Islands,70,2
38,Sat 10/3,Ohio,157966,4925
39,Sat 10/3,Oklahoma,90748,1051
40,Sat 10/3,Oregon,34512,572
41,Sat 10/3,Pennsylvania,166270,8271
42,Sat 10/3,Puerto Rico,50375,681
43,Sat 10/3,Rhode Island,25076,1118
44,Sat 10/3,South Carolina,150891,3442
45,Sat 10/3,South Dakota,23986,248
46,Sat 10/3,Tennessee,196870,2534
47,Sat 10/3,Texas,799411,16440
48,Sat 10/3,Utah,76231,476
49,Sat 10/3,Vermont,1778,58
50,Sat 10/3,Virgin Islands,1327,20
51,Sat 10/3,Virginia,150803,3270
52,Sat 10/3,Washington,93160,2238
53,Sat 10/3,West Virginia,16468,357
54,Sat 10/3,Wisconsin,138018,1383
55,Sat 10/3,Wyoming,6365,53
56,Sun 10/4,Alabama,159169,2558
57,Sun 10/4,Alaska,9300,54
58,Sun 10/4,Arizona,220757,5706
59,Sun 10/4,Arkansas,87013,1425
60,Sun 10/4,California,834635,16150
61,Sun 10/4,Colorado,73389,2077
62,Sun 10/4,Connecticut,58297,4513
63,Sun 10/4,Delaware,21243,645
64,Sun 10/4,District of Columbia,15519,631
65,Sun 10/4,Florida,716451,14670
66,Sun 10/4,Georgia,306778,6999
67,Sun 10/4,Guam,3586,53
68,Sun 10/4,Hawaii,12957,155
69,Sun 10/4,Idaho,43964,482
70,Sun 10/4,Illinois,305218,9050
71,Sun 10/4,Indiana,127501,3674
72,Sun 10/4,Iowa,92744,1387
73,Sun 10/4,Kansas,62479,698
74,Sun 10/4,Kentucky,76086,1242
75,Sun 10/4,Louisiana,169719,5577
76,Sun 10/4,Maine,5519,142
77,Sun 10/4,Maryland,127785,3958
78,Sun 10/4,Massachusetts,134947,9510
79,Sun 10/4,Michigan,141287,7125
80,Sun 10/4,Minnesota,103879,2133
81,Sun 10/4,Mississippi,100488,3013
82,Sun 10/4,Missouri,135691,2220
83,Sun 10/4,Montana,14738,187
84,Sun 10/4,Nebraska,47807,504
85,Sun 10/4,Nevada,82134,1623
86,Sun 10/4,New Hampshire,8645,443
87,Sun 10/4,New Jersey,209989,16136
88,Sun 10/4,New Mexico,30477,892
89,Sun 10/4,New York,469307,32813
90,Sun 10/4,North Carolina,217641,3653
91,Sun 10/4,North Dakota,23553,277
92,Sun 10/4,Northern Mariana Islands,73,2
93,Sun 10/4,Ohio,158907,4925
94,Sun 10/4,Oklahoma,91317,1052
95,Sun 10/4,Oregon,34771,573
96,Sun 10/4,Pennsylvania,168161,8287
97,Sun 10/4,Puerto Rico,50675,686
98,Sun 10/4,Rhode Island,25076,1118
99,Sun 10/4,South Carolina,151582,3453
100,Sun 10/4,South Dakota,24418,248
101,Sun 10/4,Tennessee,198262,2550
102,Sun 10/4,Texas,802440,16471
103,Sun 10/4,Utah,77618,478
104,Sun 10/4,Vermont,1785,58
105,Sun 10/4,Virgin Islands,1327,20
