id,Position,Track Name,Artist,Streams,URL
1,1,DÁKITI,Bad Bunny,5065542,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,2,Blinding Lights,The Weeknd,3764813,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,3,BICHOTA,KAROL G,3560869,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
4,4,Mood (feat. iann dior),24kGoldn,3402064,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,5,positions,Ariana Grande,2939820,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
6,6,34+35,Ariana Grande,2470575,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
7,7,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2448371,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
8,8,LA NOCHE DE ANOCHE,Bad Bunny,2441850,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,9,Dynamite,BTS,2372884,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
10,10,Hawái,Maluma,2305984,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,11,Levitating (feat. DaBaby),Dua Lipa,2224633,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,12,Watermelon Sugar,Harry Styles,2199194,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,13,Roses - Imanbek Remix,SAINt JHN,2149916,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
14,14,Whoopty,CJ,2131988,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
15,15,Anyone,Justin Bieber,2095920,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
16,16,WAP (feat. Megan Thee Stallion),Cardi B,2071860,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
17,17,Dance Monkey,Tones And I,2067874,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,18,Therefore I Am,Billie Eilish,2005643,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
19,19,WITHOUT YOU,The Kid LAROI,1988730,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
20,20,What You Know Bout Love,Pop Smoke,1929832,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
21,21,HOLIDAY,Lil Nas X,1823908,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
22,22,ROCKSTAR (feat. Roddy Ricch),DaBaby,1748248,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
23,23,Head & Heart (feat. MNEK),Joel Corry,1727979,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,24,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,1725649,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
25,25,Reloj,Rauw Alejandro,1712947,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
26,26,Afterglow,Ed Sheeran,1701822,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
27,27,Hecha Pa' Mi,Boza,1688021,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
28,28,Recairei - Ao Vivo,Os Barões Da Pisadinha,1635175,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
29,29,Vida de Rico,Camilo,1629086,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
30,30,La Nota,Manuel Turizo,1617356,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
31,31,Don't Start Now,Dua Lipa,1612486,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
32,32,Chica Ideal,Sebastian Yatra,1611983,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
33,33,willow,Taylor Swift,1605305,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
34,34,La Tóxica,Farruko,1560396,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
35,35,Relación - Remix,Sech,1553585,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
36,36,you broke me first,Tate McRae,1552182,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
37,37,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1551800,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
38,38,Lonely (with benny blanco),Justin Bieber,1536660,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
39,39,Snowman,Sia,1535647,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
40,40,Savage Love (Laxed - Siren Beat),Jawsh 685,1498796,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
41,41,Prisoner (feat. Dua Lipa),Miley Cyrus,1479065,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
42,42,Someone You Loved,Lewis Capaldi,1470606,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,43,BEBÉ,Camilo,1462154,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
44,44,The Business,Tiësto,1449196,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
45,45,Circles,Post Malone,1431066,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
46,46,Bandido,Myke Towers,1322137,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
47,47,Laugh Now Cry Later (feat. Lil Durk),Drake,1309953,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
48,48,TE MUDASTE,Bad Bunny,1296180,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
49,49,Blueberry Faygo,Lil Mosey,1285677,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
50,50,Basta Você Me Ligar - Ao Vivo,Os Barões Da Pisadinha,1281798,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
51,51,Una Locura,Ozuna,1278417,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
52,52,Tusa,KAROL G,1249228,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
53,53,Goosebumps,HVME,1244496,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
54,54,Good Days,SZA,1240187,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
