Position,Track Name,Artist
1,Yucky Blucky Fruitcake,Iamdoechii
2,Prom Night,Riovaz
3,YKWIM?,Yot Club
4,After School,Weeekly
5,I Hear a Symphony,Cody Fry
6,Sneaky Link,HXLLYWOOD
7,Slippin',DMX
8,Rasputin,Majestic
9,Ruff Ryders' Anthem,DMX
10,Fiel,Los Legendarios
11,X Gon' Give It To Ya,DMX
12,Peaches,Justin Bieber
13,Astronaut In The Ocean,Masked Wolf
14,Party Up,DMX
15,Leave The Door Open,Bruno Mars
16,What These People Want,DMX
17,Cloud 9,Beach Bunny
18,Baby My Phone,Yameii Online
19,Where The Hood At,DMX
20,Runaway,AURORA
21,Slumber Party,Ashnikko
22,Track Star,Mooski
23,Friday Dopamine Re-Edit,Riton
24,Heartbreak Anniversary,Giveon
25,What's My Name,DMX
26,en el Refuego,Grupo Diez 4tro
27,la di die,Nessa Barrett
28,Let Me Fly,DMX
29,telepata,Kali Uchis
30,Who We Be,DMX
31,Damien,DMX
32,I Miss You,DMX
33,Best Friend,Saweetie
34,Till Forever Falls Apart,Ashe
35,Romeo & Juliet,Peter McPoland
36,Rollin',Brave Girls
37,Go To Sleep,Eminem
38,Temptation,SIDEPIECE
39,Stop Being Greedy,DMX
40,Sometimes (Backwood),gigi
41,Beautiful Mistakes,Maroon 5
42,Calabasas,ssgkobe
43,We Right Here,DMX
44,Prayer,DMX
45,Asthma Pump,Tay Money
46,Heat Waves,Glass Animals
47,Cupid's Chokehold,Gym Class Heroes
48,Get It On The Floor,DMX
49,If You Love Her,Forest Blakk
50,Hellcats & Trackhawks,Only The Family
