Position,Track Name,Artist
1,Yucky Blucky Fruitcake,Iamdoechii
2,Prom Night,Riovaz
3,YKWIM?,Yot Club
4,After School,Weeekly
5,I Hear a Symphony,Cody Fry
6,Sneaky Link,HXLLYWOOD
7,Slippin',DMX
8,Rasputin,Majestic
9,Ruff Ryders' Anthem,DMX
10,Fiel,Los Legendarios
11,X Gon' Give It To Ya,DMX
12,Peaches,Justin Bieber
13,Astronaut In The Ocean,Masked Wolf
14,Party Up,DMX
15,Leave The Door Open,Bruno Mars
16,What These People Want,DMX
17,Cloud 9,Beach Bunny
18,Baby My Phone,Yameii Online
19,Where The Hood At,DMX
20,Runaway,AURORA
21,Slumber Party,Ashnikko
22,Track Star,Mooski
23,Friday Dopamine Re-Edit,Riton
24,Heartbreak Anniversary,Giveon
25,What's My Name,DMX
